event,event_datetime,market_group,market,selection,player_number,player_name,line,option,odds
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amir Hadziahmetovic,16,Amir Hadziahmetovic,Score,Score,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dzenis Burnic,17,Dzenis Burnic,Score,Score,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Luc De Fougerolles,4,Luc De Fougerolles,Score,Score,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Moise Bombito,15,Moise Bombito,Score,Score,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amar Dedic,7,Amar Dedic,Score,Score,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Derek Cornelius,13,Derek Cornelius,Score,Score,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nidal Celik,24,Nidal Celik,Score,Score,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nikola Katic,18,Nikola Katic,Score,Score,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tarik Muharemovic,4,Tarik Muharemovic,Score,Score,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Sead Kolasinac,5,Sead Kolasinac,Score,Score,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dennis Hadzikadunic,3,Dennis Hadzikadunic,Score,Score,21.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nihad Mujakic,2,Nihad Mujakic,Score,Score,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stjepan Radeljic,21,Stjepan Radeljic,Score,Score,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan David,10,Jonathan David,Assist,Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Cyle Larin,9,Cyle Larin,Assist,Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Promise David,24,Promise David,Assist,Assist,7.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tani Oluwaseyi,12,Tani Oluwaseyi,Assist,Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jacob Shaffelburg,14,Jacob Shaffelburg,Assist,Assist,5.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jayden Nelson,26,Jayden Nelson,Assist,Assist,5.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Liam Millar,11,Liam Millar,Assist,Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tajon Buchanan,17,Tajon Buchanan,Assist,Assist,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ali Ahmed,20,Ali Ahmed,Assist,Assist,5.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Edin Dzeko,11,Edin Dzeko,Assist,Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ismael Kone,8,Ismael Kone,Assist,Assist,7.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Haris Tabakovic,23,Haris Tabakovic,Assist,Assist,8.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan Osorio,21,Jonathan Osorio,Assist,Assist,7.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stephen Eustaquio,7,Stephen Eustaquio,Assist,Assist,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ermedin Demirovic,10,Ermedin Demirovic,Assist,Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Niko Sigur,23,Niko Sigur,Assist,Assist,5.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jovo Lukic,25,Jovo Lukic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Kerim Alajbegovic,19,Kerim Alajbegovic,Assist,Assist,8.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nathan-Dylan Saliba,25,Nathan-Dylan Saliba,Assist,Assist,8.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Samed Bazdar,9,Samed Bazdar,Assist,Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Mathieu Choiniere,6,Mathieu Choiniere,Assist,Assist,7.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Esmir Bajraktarevic,20,Esmir Bajraktarevic,Assist,Assist,8.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Richie Laryea,22,Richie Laryea,Assist,Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amar Memic,15,Amar Memic,Assist,Assist,8.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ermin Mahmic,26,Ermin Mahmic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Joel Waterman,5,Joel Waterman,Assist,Assist,7.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Alistair Johnston,2,Alistair Johnston,Assist,Assist,8.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Armin Gigovic,8,Armin Gigovic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Benjamin Tahirovic,6,Benjamin Tahirovic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ivan Basic,13,Ivan Basic,Assist,Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ivan Sunjic,14,Ivan Sunjic,Assist,Assist,8.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Alfie Jones,3,Alfie Jones,Assist,Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amir Hadziahmetovic,16,Amir Hadziahmetovic,Assist,Assist,8.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dzenis Burnic,17,Dzenis Burnic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Luc De Fougerolles,4,Luc De Fougerolles,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Moise Bombito,15,Moise Bombito,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amar Dedic,7,Amar Dedic,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Derek Cornelius,13,Derek Cornelius,Assist,Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nidal Celik,24,Nidal Celik,Assist,Assist,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nikola Katic,18,Nikola Katic,Assist,Assist,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tarik Muharemovic,4,Tarik Muharemovic,Assist,Assist,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Sead Kolasinac,5,Sead Kolasinac,Assist,Assist,15.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dennis Hadzikadunic,3,Dennis Hadzikadunic,Assist,Assist,15.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nihad Mujakic,2,Nihad Mujakic,Assist,Assist,16.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stjepan Radeljic,21,Stjepan Radeljic,Assist,Assist,17.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan David,10,Jonathan David,Score or Assist,Score or Assist,2.05
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Cyle Larin,9,Cyle Larin,Score or Assist,Score or Assist,2.20
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Promise David,24,Promise David,Score or Assist,Score or Assist,2.25
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tani Oluwaseyi,12,Tani Oluwaseyi,Score or Assist,Score or Assist,2.30
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jacob Shaffelburg,14,Jacob Shaffelburg,Score or Assist,Score or Assist,2.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jayden Nelson,26,Jayden Nelson,Score or Assist,Score or Assist,2.60
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Liam Millar,11,Liam Millar,Score or Assist,Score or Assist,3.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tajon Buchanan,17,Tajon Buchanan,Score or Assist,Score or Assist,3.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ali Ahmed,20,Ali Ahmed,Score or Assist,Score or Assist,3.10
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Edin Dzeko,11,Edin Dzeko,Score or Assist,Score or Assist,3.10
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ismael Kone,8,Ismael Kone,Score or Assist,Score or Assist,3.10
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Haris Tabakovic,23,Haris Tabakovic,Score or Assist,Score or Assist,3.20
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jonathan Osorio,21,Jonathan Osorio,Score or Assist,Score or Assist,3.25
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stephen Eustaquio,7,Stephen Eustaquio,Score or Assist,Score or Assist,3.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ermedin Demirovic,10,Ermedin Demirovic,Score or Assist,Score or Assist,3.60
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Niko Sigur,23,Niko Sigur,Score or Assist,Score or Assist,3.60
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Jovo Lukic,25,Jovo Lukic,Score or Assist,Score or Assist,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Kerim Alajbegovic,19,Kerim Alajbegovic,Score or Assist,Score or Assist,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nathan-Dylan Saliba,25,Nathan-Dylan Saliba,Score or Assist,Score or Assist,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Samed Bazdar,9,Samed Bazdar,Score or Assist,Score or Assist,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Mathieu Choiniere,6,Mathieu Choiniere,Score or Assist,Score or Assist,4.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Esmir Bajraktarevic,20,Esmir Bajraktarevic,Score or Assist,Score or Assist,4.33
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Richie Laryea,22,Richie Laryea,Score or Assist,Score or Assist,4.33
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amar Memic,15,Amar Memic,Score or Assist,Score or Assist,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ermin Mahmic,26,Ermin Mahmic,Score or Assist,Score or Assist,4.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Joel Waterman,5,Joel Waterman,Score or Assist,Score or Assist,5.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Alistair Johnston,2,Alistair Johnston,Score or Assist,Score or Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Armin Gigovic,8,Armin Gigovic,Score or Assist,Score or Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Benjamin Tahirovic,6,Benjamin Tahirovic,Score or Assist,Score or Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ivan Basic,13,Ivan Basic,Score or Assist,Score or Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Ivan Sunjic,14,Ivan Sunjic,Score or Assist,Score or Assist,5.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Alfie Jones,3,Alfie Jones,Score or Assist,Score or Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amir Hadziahmetovic,16,Amir Hadziahmetovic,Score or Assist,Score or Assist,6.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dzenis Burnic,17,Dzenis Burnic,Score or Assist,Score or Assist,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Luc De Fougerolles,4,Luc De Fougerolles,Score or Assist,Score or Assist,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Moise Bombito,15,Moise Bombito,Score or Assist,Score or Assist,6.50
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Amar Dedic,7,Amar Dedic,Score or Assist,Score or Assist,7.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Derek Cornelius,13,Derek Cornelius,Score or Assist,Score or Assist,7.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nidal Celik,24,Nidal Celik,Score or Assist,Score or Assist,9.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nikola Katic,18,Nikola Katic,Score or Assist,Score or Assist,9.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Tarik Muharemovic,4,Tarik Muharemovic,Score or Assist,Score or Assist,9.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Sead Kolasinac,5,Sead Kolasinac,Score or Assist,Score or Assist,10.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Dennis Hadzikadunic,3,Dennis Hadzikadunic,Score or Assist,Score or Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Nihad Mujakic,2,Nihad Mujakic,Score or Assist,Score or Assist,11.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Player to Score or Assist,Player to Score or Assist,Stjepan Radeljic,21,Stjepan Radeljic,Score or Assist,Score or Assist,12.00
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Jonathan David,10,Jonathan David,Anytime,Anytime,2.62
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Cyle Larin,9,Cyle Larin,Anytime,Anytime,2.87
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Promise David,24,Promise David,Anytime,Anytime,2.87
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Tani Oluwaseyi,12,Tani Oluwaseyi,Anytime,Anytime,3.25
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Edin Dzeko,11,Edin Dzeko,Anytime,Anytime,3.75
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Jacob Shaffelburg,14,Jacob Shaffelburg,Anytime,Anytime,4.33
Canada v Bosnia-Herzegovina,13 Jun 06:00,Goalscorers,Goalscorers,Jayden Nelson,26,Jayden Nelson,Anytime,Anytime,4.33
